epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5726,2.97441,4.89321,1.74912,0.02675,0.04762,0.0161,0.00816,2.44271,4.32123,1.75878,0.0001125,0.0001125,0.0001125
2,65.2346,2.55181,3.07149,1.39666,0.7406,0.19048,0.09187,0.04917,2.26521,5.00203,1.567,0.000225744,0.000225744,0.000225744
3,95.0142,2.14349,2.23678,1.23629,0.9643,0.16667,0.27141,0.12923,2.18052,3.83053,1.48538,0.000326613,0.000326613,0.000326613
4,135.773,2.08022,1.93543,1.18871,0.51251,0.43651,0.25877,0.11755,2.20158,3.38912,1.48684,0.000415106,0.000415106,0.000415106
5,166.578,2.05805,1.8402,1.21782,0.17548,0.37217,0.22389,0.09578,2.13088,2.63429,1.43469,0.000491225,0.000491225,0.000491225
6,196.358,2.08805,1.89286,1.17412,0.37754,0.36322,0.27992,0.14647,2.11783,2.65603,1.4235,0.000554969,0.000554969,0.000554969
7,227.413,2.035,1.85824,1.15282,0.37754,0.36322,0.27992,0.14647,2.11783,2.65603,1.4235,0.000606338,0.000606338,0.000606338
8,259.52,1.95439,1.76001,1.11566,0.29535,0.42044,0.3444,0.17856,1.99442,2.26063,1.35714,0.000645331,0.000645331,0.000645331
9,291.411,1.93004,1.68345,1.12033,0.42734,0.51384,0.40237,0.2135,1.9399,2.5127,1.31931,0.00067195,0.00067195,0.00067195
10,323.512,1.97296,1.67672,1.12179,0.42734,0.51384,0.40237,0.2135,1.9399,2.5127,1.31931,0.000686194,0.000686194,0.000686194
11,356.462,1.94681,1.86476,1.17417,0.38512,0.55769,0.37889,0.20101,1.97075,2.58298,1.30469,0.00063125,0.00063125,0.00063125
12,389.977,1.92483,1.87321,1.1128,0.3929,0.50859,0.38946,0.17133,1.98697,2.00437,1.2856,0.000569375,0.000569375,0.000569375
13,423.182,1.88704,1.80456,1.18065,0.3929,0.50859,0.38946,0.17133,1.98697,2.00437,1.2856,0.0005075,0.0005075,0.0005075
14,455.69,1.90785,1.73294,1.16135,0.32981,0.52596,0.39743,0.18243,1.96253,1.98822,1.27965,0.000445625,0.000445625,0.000445625
15,488.949,1.95333,1.79946,1.15693,0.37158,0.47973,0.38251,0.18951,1.93451,2.16767,1.27932,0.00038375,0.00038375,0.00038375
16,521.203,2.02523,1.94873,1.15445,0.37158,0.47973,0.38251,0.18951,1.93451,2.16767,1.27932,0.000321875,0.000321875,0.000321875
17,553.824,1.97632,1.95074,1.12025,0.39531,0.52677,0.39216,0.19866,1.89966,2.21161,1.27189,0.00026,0.00026,0.00026
18,586.367,1.86767,1.51708,1.11409,0.39531,0.52677,0.39216,0.19866,1.89966,2.21161,1.27189,0.000198125,0.000198125,0.000198125
19,618.884,1.82002,1.56928,1.11706,0.42326,0.53498,0.4047,0.21158,1.88167,2.13991,1.27678,0.00013625,0.00013625,0.00013625
20,648.113,1.86385,1.49017,1.13099,0.448,0.50663,0.40187,0.21549,1.87075,2.04746,1.27985,7.4375e-05,7.4375e-05,7.4375e-05
