epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9882,2.67024,4.56728,1.5224,0.88659,0.07143,0.10687,0.04396,2.49366,3.86113,1.59444,0.00015,0.00015,0.00015
2,75.6638,2.36661,3.03062,1.31116,0.44143,0.21111,0.1161,0.07284,2.26242,4.71074,1.46137,0.000306312,0.000306312,0.000306312
3,115.999,2.15446,2.47593,1.28725,0.4497,0.1127,0.08442,0.04518,2.1514,4.19285,1.44789,0.00045619,0.00045619,0.00045619
4,155.458,2.07989,2.02649,1.18579,0.37417,0.37219,0.27989,0.13482,2.14766,3.42431,1.4008,0.000599632,0.000599632,0.000599632
5,194.851,2.11308,2.23981,1.2377,0.48127,0.30306,0.26001,0.11966,2.09376,3.30439,1.32686,0.00073664,0.00073664,0.00073664
6,234.164,2.04129,2.02877,1.19167,0.51408,0.25129,0.1949,0.0873,2.0989,3.13278,1.32474,0.000867213,0.000867213,0.000867213
7,275.113,2.00691,1.98214,1.1486,0.51408,0.25129,0.1949,0.0873,2.0989,3.13278,1.32474,0.00099135,0.00099135,0.00099135
8,313.452,2.01327,1.91166,1.15488,0.63289,0.25714,0.23576,0.13139,2.05499,2.95992,1.33534,0.00107675,0.00107675,0.00107675
9,351.719,1.93088,1.74406,1.12285,0.443,0.46858,0.37794,0.19833,1.95961,2.34221,1.29635,0.001052,0.001052,0.001052
10,392.292,1.96052,1.71283,1.11829,0.443,0.46858,0.37794,0.19833,1.95961,2.34221,1.29635,0.00102725,0.00102725,0.00102725
11,430.373,1.96539,1.75537,1.16654,0.3621,0.57712,0.41343,0.21131,1.95126,2.53859,1.33575,0.0010025,0.0010025,0.0010025
12,470.621,1.89338,1.66927,1.1085,0.3621,0.57712,0.41343,0.21131,1.95126,2.53859,1.33575,0.00097775,0.00097775,0.00097775
13,509.684,1.92473,1.75487,1.0994,0.38252,0.48883,0.43626,0.2185,1.98695,2.22461,1.36175,0.000953,0.000953,0.000953
14,546.838,1.92135,1.61504,1.10706,0.611,0.34266,0.40654,0.20005,1.9672,2.30695,1.35652,0.00092825,0.00092825,0.00092825
15,585.572,1.93398,1.74614,1.18205,0.611,0.34266,0.40654,0.20005,1.9672,2.30695,1.35652,0.0009035,0.0009035,0.0009035
16,624.613,1.9175,1.47458,1.12502,0.5806,0.42337,0.50457,0.24467,1.83808,2.19914,1.33734,0.00087875,0.00087875,0.00087875
17,663.733,1.89485,1.54142,1.16472,0.58,0.56405,0.52032,0.26135,1.83626,1.92225,1.36549,0.000854,0.000854,0.000854
18,702.282,1.87564,1.42239,1.11576,0.58,0.56405,0.52032,0.26135,1.83626,1.92225,1.36549,0.00082925,0.00082925,0.00082925
19,740.417,1.84314,1.37584,1.0889,0.53543,0.53976,0.53986,0.28274,1.86575,1.79409,1.384,0.0008045,0.0008045,0.0008045
20,776.954,1.84625,1.33825,1.1366,0.53543,0.53976,0.53986,0.28274,1.86575,1.79409,1.384,0.00077975,0.00077975,0.00077975
21,815.211,1.81659,1.29753,1.08603,0.57095,0.45881,0.54947,0.26373,1.81553,1.7623,1.36746,0.000755,0.000755,0.000755
22,852.849,1.87198,1.38251,1.07574,0.42315,0.64396,0.52968,0.26836,1.82146,1.74535,1.37915,0.00073025,0.00073025,0.00073025
23,890.813,1.9022,1.3806,1.07157,0.42315,0.64396,0.52968,0.26836,1.82146,1.74535,1.37915,0.0007055,0.0007055,0.0007055
24,932.801,1.76815,1.30688,1.06393,0.61074,0.44532,0.48386,0.2544,1.83081,1.67709,1.36767,0.00068075,0.00068075,0.00068075
25,968.869,1.75799,1.24056,1.05152,0.61074,0.44532,0.48386,0.2544,1.83081,1.67709,1.36767,0.000656,0.000656,0.000656
26,1004.84,1.76539,1.29155,1.0908,0.64775,0.47053,0.54951,0.2769,1.81925,1.65791,1.33009,0.00063125,0.00063125,0.00063125
27,1041.29,1.7077,1.28084,1.04638,0.58897,0.48894,0.57655,0.30133,1.79603,1.64581,1.29342,0.0006065,0.0006065,0.0006065
28,1076.47,1.73889,1.19936,1.08115,0.58897,0.48894,0.57655,0.30133,1.79603,1.64581,1.29342,0.00058175,0.00058175,0.00058175
29,1113.08,1.727,1.25346,1.08972,0.5395,0.52431,0.54702,0.2798,1.78636,1.65367,1.28765,0.000557,0.000557,0.000557
30,1147.57,1.75373,1.19003,1.05556,0.52225,0.53914,0.54253,0.28237,1.8055,1.62514,1.29455,0.00053225,0.00053225,0.00053225
